업소 명	자치구 명	업종 명	업태 명	식품인증구분	식품인증 구분명	지도 Y좌표	지도 X좌표	전화번호	도로명상세주소	도로명주소코드	도로명주소	업소인증메뉴														
주)비사벌 (前 전주식당)	성동구	일반음식점	한식	4	저염실천음식점	37.54628021	127.0450239	  02 4629202	1-2 1층 (성수동1가)	1.12004E+15	서울특별시 성동구 왕십리로6길	콩나물국밥														
초록애(구보성녹돈)	동작구	일반음식점	한식	4	저염실천음식점	37.51197345	126.9259326	010-9935-3052	5 (대방동)	1.15904E+15	서울특별시 동작구 여의대방로54길	오리탕														
크을농	강북구	일반음식점	한식	4	저염실천음식점	37.64701934	127.008299	02-990-7900	7-14 1~2층 (수유동)	1.13054E+15	서울특별시 강북구 4.19로8길	삼계탕														
해물촌 칼국수	강북구	일반음식점	한식	4	저염실천음식점	37.63231029	127.0352603	02-945-0622	109	1.13054E+15	서울특별시 강북구 오현로31길	바지락칼국수														
24시가마솥설렁탕	강서구	일반음식점	한식	4	저염실천음식점	37.56100753	126.8109594	02-2663-3532	34  (공항동 청보빌딩)1층	1.15002E+15	서울특별시 강서구 공항대로	설렁탕														
당신을위하여	강서구	일반음식점	일식	4	저염실천음식점	37.5581129	126.8397726	02-3664-6667	290 2층 (내발산동 우장산동 순봉빌딩)	1.15002E+15	서울특별시 강서구 공항대로	매운탕														
명가원설농탕(강서구청점)	강서구	일반음식점	한식	4	저염실천음식점	37.55010074	126.8475664	02-2696-3344	283 1~2층 (화곡동 6동)	1.15003E+15	서울특별시 강서구 화곡로	설렁탕														
북창순두부	강서구	일반음식점	한식	4	저염실천음식점	37.56570249	126.8476433	02-2638-5582	401 B동 2층 206호 (가양동 1동 강서한강자이타워)	1.15003E+15	서울특별시 강서구 양천로	순두부찌개														
푸주옥	강서구	일반음식점	한식	4	저염실천음식점	37.55364387	126.8535889	02-2606-3677	183 1~2층 (화곡동 6동)	1.15003E+15	서울특별시 강서구 까치산로	설렁탕														
한우와한돈	강서구	일반음식점	한식	4	저염실천음식점	37.54718043	126.8360028	02-2603-1811	239 1층 10~12 14호 (화곡동 3동)	1.15003E+15	서울특별시 강서구 강서로	차돌된장찌개														
정가	관악구	일반음식점	한식	4	저염실천음식점	37.48274911	126.9398502	02-884-8988	1710 지하1~지상1층 (봉천동)	1.16202E+15	서울특별시 관악구 남부순환로	버섯들깨탕														
조마루뼈다귀	관악구	일반음식점	한식	4	저염실천음식점	37.47269417	126.9337265	02-875-4255	152 1층 (신림동)	1.16203E+15	서울특별시 관악구 신림로	뼈해장국														
가마솥도가니탕장수옥	광진구	일반음식점	한식	4	저염실천음식점	37.56471641	127.0869596	02-444-6888	124 (중곡동)	1.12153E+15	서울특별시 광진구 용마산로	갈비탕														
김용희참치	노원구	일반음식점	일식	4	저염실천음식점	37.62003092	127.0752664	02-979-4042	3 (공릉동)	1.13504E+15	서울특별시 노원구 동일로176길	미소된장국														
논골집	노원구	일반음식점	한식	4	저염실천음식점	37.65582021	127.0656064	02-930-0080	517-3 (상계동호 12층)	1.13503E+15	서울특별시 노원구 노해로	된장찌개														
만덕이가 명가순대국	노원구	일반음식점	한식	4	저염실천음식점	37.68018775	127.0558243	02-931-7141	1700 1층 101102103호 (상계동 1267번지 )	1.13503E+15	서울특별시 노원구 동일로	순대국														
매일복집	노원구	일반음식점	복어취급	4	저염실천음식점	37.62029626	127.07736	02-973-1747	42 (공릉동)	1.13504E+15	서울특별시 노원구 동일로176길	복지리														
명품장어구이	노원구	일반음식점	한식	4	저염실천음식점	37.65454084	127.0587016	02-951-5521	14-22 (상계동)	1.13504E+15	서울특별시 노원구 노해로75길	장어탕														
배밭고을	노원구	일반음식점	한식	4	저염실천음식점	37.67227013	127.0554329	02-938-9500	1611 (상계동)	1.13503E+15	서울특별시 노원구 동일로	갈비탕														
